epoch,split,snr,acc,correct,total
1,val,20,0.6391752577319587,62,97
1,val,0,0.4845360824742268,47,97
1,val,30,0.5794392523364486,62,107
1,val,10,0.5185185185185185,56,108
2,val,20,0.4948453608247423,48,97
2,val,0,0.4948453608247423,48,97
2,val,30,0.5887850467289719,63,107
2,val,10,0.49074074074074076,53,108
3,val,20,0.6082474226804123,59,97
3,val,0,0.4845360824742268,47,97
3,val,30,0.4953271028037383,53,107
3,val,10,0.5185185185185185,56,108
4,val,20,0.6494845360824743,63,97
4,val,0,0.4845360824742268,47,97
4,val,30,0.5233644859813084,56,107
4,val,10,0.5555555555555556,60,108
5,val,20,0.5979381443298969,58,97
5,val,0,0.4845360824742268,47,97
5,val,30,0.4953271028037383,53,107
5,val,10,0.5185185185185185,56,108
1,test,30,0.5925925925925926,64,108
1,test,10,0.47474747474747475,47,99
1,test,0,0.5247524752475248,53,101
1,test,20,0.5825242718446602,60,103
