epoch,split,snr,loss,acc,correct,total
1,val,20,1.373670872033032,0.3202614379084967,98,306
1,val,10,1.4131658829160427,0.34868421052631576,106,304
1,val,-20,2.0775896803762928,0.1792452830188679,57,318
1,val,30,1.3886499948471598,0.31446540880503143,100,318
1,val,-10,2.1728031782211956,0.17482517482517482,50,286
1,val,0,1.9244694050485298,0.2315112540192926,72,311
2,val,20,1.340454311737048,0.39215686274509803,120,306
2,val,10,1.2950650255538916,0.39473684210526316,120,304
2,val,-20,1.9616186435117662,0.14779874213836477,47,318
2,val,30,1.2967951394289545,0.42452830188679247,135,318
2,val,-10,1.9652682042622065,0.1958041958041958,56,286
2,val,0,1.7940351380412602,0.19935691318327975,62,311
3,val,20,0.8665260821702628,0.6405228758169934,196,306
3,val,10,0.8163847890192348,0.6710526315789473,204,304
3,val,-20,1.9817086542552371,0.16352201257861634,52,318
3,val,30,0.815152324654115,0.6729559748427673,214,318
3,val,-10,2.0173919867802335,0.18181818181818182,52,286
3,val,0,1.6584927454063747,0.26688102893890675,83,311
4,val,20,0.9284945807291889,0.6633986928104575,203,306
4,val,10,0.9014154103903198,0.6644736842105263,202,304
4,val,-20,1.955520362036783,0.1761006289308176,56,318
4,val,30,0.8688271131495353,0.6352201257861635,202,318
4,val,-10,1.9408165504048753,0.13286713286713286,38,286
4,val,0,1.6186460001675647,0.3729903536977492,116,311
5,val,20,1.0582925393915692,0.5261437908496732,161,306
5,val,10,0.8332929124161111,0.631578947368421,192,304
5,val,-20,2.167781795158326,0.16352201257861634,52,318
5,val,30,0.9067204012960172,0.5817610062893082,185,318
5,val,-10,2.2256991779887594,0.15384615384615385,44,286
5,val,0,1.8311276040084876,0.29260450160771706,91,311
6,val,20,0.6691167607353361,0.7647058823529411,234,306
6,val,10,0.6174134914548822,0.756578947368421,230,304
6,val,-20,1.9137021381899995,0.16666666666666666,53,318
6,val,30,0.5969138786111777,0.789308176100629,251,318
6,val,-10,1.8996808708130897,0.1888111888111888,54,286
