epoch,split,snr,loss,acc,correct,total
1,val,20,1.4476524878755894,0.3660130718954248,112,306
1,val,10,1.3517559397671568,0.40460526315789475,123,304
1,val,-20,2.4695994373200074,0.1918238993710692,61,318
1,val,30,1.3578351191567175,0.39622641509433965,126,318
1,val,-10,2.6479900256320312,0.17132867132867133,49,286
1,val,0,2.1760105860578287,0.26688102893890675,83,311
2,val,20,1.127174148908238,0.48366013071895425,148,306
2,val,10,1.0301823135171282,0.5592105263157895,170,304
2,val,-20,2.251243602367317,0.1918238993710692,61,318
2,val,30,1.0698569879966713,0.5314465408805031,169,318
2,val,-10,2.3302432274693374,0.13286713286713286,38,286
2,val,0,1.927209112230221,0.2861736334405145,89,311
3,val,20,0.7863288129469854,0.6372549019607843,195,306
3,val,10,0.7609229918069966,0.6578947368421053,200,304
3,val,-20,2.126798486278492,0.1949685534591195,62,318
3,val,30,0.7678554826796805,0.6761006289308176,215,318
3,val,-10,2.1894273725631352,0.14335664335664336,41,286
3,val,0,1.650020426013462,0.3086816720257235,96,311
4,val,20,0.8189845444213978,0.6339869281045751,194,306
4,val,10,0.7495804631693509,0.7039473684210527,214,304
4,val,-20,2.0690803257924206,0.16037735849056603,51,318
4,val,30,0.7653091198778653,0.6981132075471698,222,318
4,val,-10,2.082786947488785,0.16083916083916083,46,286
4,val,0,1.723860846023851,0.33440514469453375,104,311
5,val,20,0.7898372770136644,0.5849673202614379,179,306
5,val,10,0.7415510149542235,0.618421052631579,188,304
5,val,-20,2.467959187690567,0.11949685534591195,38,318
5,val,30,0.7595440809811133,0.60062893081761,191,318
5,val,-10,2.516035185723038,0.15034965034965034,43,286
5,val,0,1.7376607145718823,0.2829581993569132,88,311
6,val,20,0.5374258825174478,0.7450980392156863,228,306
6,val,10,0.4450182505579984,0.8256578947368421,251,304
6,val,-20,2.0864654020318447,0.16666666666666666,53,318
6,val,30,0.4933050809821272,0.7610062893081762,242,318
6,val,-10,2.139829430129978,0.16433566433566432,47,286
6,val,0,1.4131986786314912,0.3729903536977492,116,311
7,val,20,0.6974097793578289,0.6830065359477124,209,306
7,val,10,0.5622497772469375,0.756578947368421,230,304
7,val,-20,2.136945732734488,0.14150943396226415,45,318
7,val,30,0.6044967212809803,0.7295597484276729,232,318
7,val,-10,2.0642581223607896,0.16083916083916083,46,286
7,val,0,1.718017726322079,0.3954983922829582,123,311
8,val,20,0.5856506331993349,0.7483660130718954,229,306
8,val,10,0.403759621058845,0.8486842105263158,258,304
