epoch,split,snr,loss,acc,correct,total
1,val,20,0.8551192010442416,0.6013071895424836,184,306
1,val,10,0.8721879727060073,0.5986842105263158,182,304
1,val,-20,1.8570620440087229,0.16352201257861634,52,318
1,val,30,0.8062701362226182,0.6289308176100629,200,318
1,val,-10,1.8519172493394438,0.16083916083916083,46,286
1,val,0,1.6344968491141052,0.2347266881028939,73,311
2,val,20,0.886157225744397,0.5816993464052288,178,306
2,val,10,0.8587139662183625,0.6151315789473685,187,304
2,val,-20,2.017357038626881,0.15723270440251572,50,318
2,val,30,0.8236614747218928,0.6415094339622641,204,318
2,val,-10,1.9392691496368888,0.16783216783216784,48,286
2,val,0,1.5339196625246496,0.3504823151125402,109,311
3,val,20,0.7459234254544272,0.5816993464052288,178,306
3,val,10,0.7575939000434071,0.6447368421052632,196,304
3,val,-20,2.1432889491881966,0.17295597484276728,55,318
3,val,30,0.6929559550839681,0.6477987421383647,206,318
3,val,-10,2.225810254162008,0.15034965034965034,43,286
3,val,0,1.5292144026307815,0.33762057877813506,105,311
4,val,20,0.7256172435872524,0.6372549019607843,195,306
4,val,10,0.7492323703841784,0.6348684210526315,193,304
4,val,-20,2.0836094102394656,0.16037735849056603,51,318
4,val,30,0.6856116853689529,0.6729559748427673,214,318
4,val,-10,1.9974623849758735,0.19230769230769232,55,286
4,val,0,1.3008854790228357,0.36012861736334406,112,311
5,val,20,0.6332846183825918,0.6830065359477124,209,306
5,val,10,0.6895498239418406,0.6513157894736842,198,304
5,val,-20,1.95329879102467,0.17295597484276728,55,318
5,val,30,0.6039011285540724,0.7452830188679245,237,318
5,val,-10,1.938125355885579,0.16783216783216784,48,286
5,val,0,1.29315155619977,0.40192926045016075,125,311
6,val,20,0.6552170804664462,0.7222222222222222,221,306
6,val,10,0.741618447920868,0.618421052631579,188,304
6,val,-20,1.9924098547524627,0.14779874213836477,47,318
6,val,30,0.6703662830326229,0.7012578616352201,223,318
6,val,-10,1.9390289981465239,0.17132867132867133,49,286
6,val,0,1.3110842715313964,0.41479099678456594,129,311
7,val,20,0.638807405167171,0.630718954248366,193,306
7,val,10,0.688175061876791,0.6578947368421053,200,304
7,val,-20,1.9324391337123308,0.1540880503144654,49,318
7,val,30,0.6039921313276406,0.6918238993710691,220,318
7,val,-10,1.8965493275985852,0.1888111888111888,54,286
7,val,0,1.2762186137234666,0.42443729903536975,132,311
8,val,20,0.6098570004695253,0.673202614379085,206,306
8,val,10,0.6680312147746008,0.694078947368421,211,304
8,val,-20,1.8720270340922494,0.15723270440251572,50,318
8,val,30,0.5879892648604798,0.7484276729559748,238,318
8,val,-10,1.849435842120564,0.17832167832167833,51,286
8,val,0,1.3429260190660164,0.39228295819935693,122,311
9,val,20,0.600971344740661,0.7320261437908496,224,306
9,val,10,0.6761418667206511,0.6546052631578947,199,304
9,val,-20,1.8770468101936317,0.16981132075471697,54,318
9,val,30,0.5854071052702885,0.7264150943396226,231,318
9,val,-10,1.8311305027324836,0.17132867132867133,49,286
9,val,0,1.2667643582130934,0.3987138263665595,124,311
10,val,20,0.5864497017392316,0.7156862745098039,219,306
10,val,10,0.6489557053693812,0.6710526315789473,204,304
10,val,-20,1.8550116035548396,0.16981132075471697,54,318
10,val,30,0.5520094115002983,0.7672955974842768,244,318
10,val,-10,1.8112339906759196,0.20279720279720279,58,286
10,val,0,1.2696058002698842,0.40192926045016075,125,311
11,val,20,0.5821491481829131,0.7581699346405228,232,306
11,val,10,0.6468427750152937,0.7006578947368421,213,304
11,val,-20,1.8580766936892983,0.1918238993710692,61,318
11,val,30,0.5555441360871246,0.7924528301886793,252,318
11,val,-10,1.8248487064888428,0.17132867132867133,49,286
11,val,0,1.2614165795577683,0.3954983922829582,123,311
12,val,20,0.6262869516323287,0.6862745098039216,210,306
12,val,10,0.6243204500282876,0.7039473684210527,214,304
12,val,-20,1.918579896291097,0.16037735849056603,51,318
12,val,30,0.5790702677966566,0.7452830188679245,237,318
12,val,-10,1.8502821215799639,0.2097902097902098,60,286
12,val,0,1.1890121533556384,0.3987138263665595,124,311
13,val,20,0.6072113576221122,0.6699346405228758,205,306
13,val,10,0.6232731038918293,0.7171052631578947,218,304
13,val,-20,1.8827808769244068,0.17295597484276728,55,318
13,val,30,0.5597564414838759,0.7389937106918238,235,318
13,val,-10,1.8224167780025855,0.21328671328671328,61,286
13,val,0,1.2111133973314832,0.40836012861736337,127,311
14,val,20,0.6020941736587108,0.7320261437908496,224,306
14,val,10,0.6359065465163009,0.6973684210526315,212,304
14,val,-20,1.8952331482989233,0.1540880503144654,49,318
14,val,30,0.5452566996443564,0.7672955974842768,244,318
14,val,-10,1.84170868263378,0.23426573426573427,67,286
14,val,0,1.230019495178649,0.35691318327974275,111,311
15,val,20,0.6325372594243769,0.6797385620915033,208,306
15,val,10,0.6129948466120703,0.7335526315789473,223,304
15,val,-20,1.9271868990277343,0.16037735849056603,51,318
15,val,30,0.5788449838846016,0.7389937106918238,235,318
15,val,-10,1.8476883660663257,0.2062937062937063,59,286
15,val,0,1.1791334498158605,0.40192926045016075,125,311
16,val,20,0.5397285151437459,0.7647058823529411,234,306
16,val,10,0.6269131903796542,0.6414473684210527,195,304
16,val,-20,1.8801032325381752,0.15723270440251572,50,318
16,val,30,0.5296128149591526,0.7704402515723271,245,318
16,val,-10,1.8148206632870894,0.1958041958041958,56,286
16,val,0,1.2255308200692057,0.3987138263665595,124,311
11,test,0,1.299876860816116,0.36245954692556637,112,309
11,test,10,0.6735006637432398,0.6888888888888889,217,315
11,test,-20,1.8990454425577257,0.14426229508196722,44,305
11,test,-10,1.8823840820363589,0.14583333333333334,49,336
11,test,20,0.5602665454310849,0.7335526315789473,223,304
11,test,30,0.5938856394227001,0.7018181818181818,193,275
