epoch,split,loss,acc
1,train,4.259172131013531,0.223499491353001
2,train,1.5823386969910755,0.365412004069176
3,train,1.2724581346870802,0.45534079348931844
4,train,1.194464011449416,0.4939979654120041
5,train,1.1098926058863332,0.5224821973550356
6,train,1.035572912904035,0.5539165818921669
7,train,0.9536828296230623,0.5787385554425228
8,train,0.932046994745792,0.5955239064089521
9,train,0.8783189883067188,0.6061037639877924
10,train,0.8498159642379621,0.6180061037639878
11,train,0.8267897599226097,0.6239064089521872
12,train,0.7806626554544436,0.6433367243133266
13,train,0.8057181198502363,0.6325534079348932
14,train,0.7632562037765798,0.6461851475076297
15,train,0.7783752145383996,0.64587995930824
16,train,0.7511365066831013,0.6555442522889114
17,train,0.7475665157105649,0.6533062054933876
18,train,0.7199975823579945,0.6558494404883011
19,train,0.7075730774434149,0.661851475076297
20,train,0.6887167057573856,0.6687690742624619
21,train,0.704472121108221,0.6701932858596135
22,train,0.6831922547135688,0.6734486266531028
23,train,0.6740519708679991,0.6757884028484232
24,train,0.7048667454040426,0.6696846388606307
25,train,0.6568792254248083,0.6858596134282807
26,train,0.6869415328558439,0.6675483214649034
27,train,0.6473518735394715,0.6836215666327569
28,train,0.6449066283258998,0.6894201424211597
29,train,0.6388856747143145,0.6952187182095626
30,train,0.6393879161846359,0.6874872838250254
31,train,0.6422145892984384,0.6822990844354019
32,train,0.633069877985899,0.6874872838250254
33,train,0.6257380633727702,0.6917599186164801
34,train,0.6091497355293282,0.6997965412004069
35,train,0.6162239618121911,0.6918616480162767
36,train,0.6161936958711727,0.6971515768056968
37,train,0.6098454730556795,0.7034587995930824
38,train,0.6053027582920458,0.6985757884028484
39,train,0.6016292979249149,0.7049847405900305
40,train,0.597261295895853,0.7095625635808749
