epoch,split,snr,acc,correct,total
1,val,10,0.3609515996718622,880,2438
1,val,30,0.33292880258899676,823,2472
1,val,20,0.3346709470304976,834,2492
1,val,0,0.08896210873146623,216,2428
2,val,10,0.43560295324036097,1062,2438
2,val,30,0.41019417475728154,1014,2472
2,val,20,0.434991974317817,1084,2492
2,val,0,0.10667215815485996,259,2428
3,val,10,0.4585726004922067,1118,2438
3,val,30,0.4559061488673139,1127,2472
3,val,20,0.4618780096308186,1151,2492
3,val,0,0.12644151565074135,307,2428
4,val,10,0.4388843314191961,1070,2438
4,val,30,0.42637540453074435,1054,2472
4,val,20,0.4518459069020867,1126,2492
4,val,0,0.15774299835255354,383,2428
5,val,10,0.42124692370795735,1027,2438
5,val,30,0.39846278317152106,985,2472
5,val,20,0.42576243980738365,1061,2492
5,val,0,0.16268533772652388,395,2428
6,val,10,0.43437243642329776,1059,2438
6,val,30,0.4267799352750809,1055,2472
6,val,20,0.42696629213483145,1064,2492
6,val,0,0.15897858319604613,386,2428
7,val,10,0.43929450369155043,1071,2438
7,val,30,0.44619741100323623,1103,2472
7,val,20,0.46468699839486355,1158,2492
7,val,0,0.15321252059308071,372,2428
8,val,10,0.463084495488105,1129,2438
8,val,30,0.4538834951456311,1122,2472
8,val,20,0.47070626003210275,1173,2492
8,val,0,0.17380560131795716,422,2428
9,val,10,0.4971287940935193,1212,2438
9,val,30,0.48260517799352753,1193,2472
9,val,20,0.492776886035313,1228,2492
9,val,0,0.171334431630972,416,2428
10,val,10,0.4692370795734208,1144,2438
10,val,30,0.4437702265372168,1097,2472
10,val,20,0.46468699839486355,1158,2492
10,val,0,0.1915156507413509,465,2428
11,val,10,0.4885151763740771,1191,2438
11,val,30,0.48341423948220064,1195,2472
11,val,20,0.4803370786516854,1197,2492
11,val,0,0.16886326194398682,410,2428
12,val,10,0.4606234618539787,1123,2438
12,val,30,0.46197411003236244,1142,2472
12,val,20,0.4510433386837881,1124,2492
12,val,0,0.20098846787479407,488,2428
13,val,10,0.4827727645611157,1177,2438
13,val,30,0.4817961165048544,1191,2472
13,val,20,0.492776886035313,1228,2492
13,val,0,0.19439868204283361,472,2428
14,val,10,0.4971287940935193,1212,2438
14,val,30,0.48745954692556637,1205,2472
14,val,20,0.49719101123595505,1239,2492
14,val,0,0.18039538714991762,438,2428
15,val,10,0.4696472518457752,1145,2438
15,val,30,0.46682847896440127,1154,2472
15,val,20,0.4658908507223114,1161,2492
15,val,0,0.19522240527182866,474,2428
16,val,10,0.46554552912223135,1135,2438
16,val,30,0.4684466019417476,1158,2472
16,val,20,0.47191011235955055,1176,2492
16,val,0,0.18451400329489293,448,2428
17,val,10,0.49015586546349466,1195,2438
17,val,30,0.4894822006472492,1210,2472
17,val,20,0.4995987158908507,1245,2492
17,val,0,0.19728171334431632,479,2428
18,val,10,0.492616899097621,1201,2438
18,val,30,0.4773462783171521,1180,2472
18,val,20,0.4895666131621188,1220,2492
18,val,0,0.19604612850082373,476,2428
19,val,10,0.49548810500410173,1208,2438
19,val,30,0.4785598705501618,1183,2472
19,val,20,0.47592295345104335,1186,2492
19,val,0,0.19892915980230644,483,2428
20,val,10,0.4782608695652174,1166,2438
20,val,30,0.465210355987055,1150,2472
20,val,20,0.48154093097913325,1200,2492
20,val,0,0.19645799011532125,477,2428
21,val,10,0.48482362592288764,1182,2438
21,val,30,0.4603559870550162,1138,2472
21,val,20,0.471107544141252,1174,2492
21,val,0,0.21046128500823724,511,2428
22,val,10,0.4995898277276456,1218,2438
22,val,30,0.49838187702265374,1232,2472
22,val,20,0.5032102728731942,1254,2492
22,val,0,0.1787479406919275,434,2428
23,val,10,0.4950779327317473,1207,2438
23,val,30,0.4919093851132686,1216,2472
23,val,20,0.5052166934189406,1259,2492
23,val,0,0.17257001647446457,419,2428
24,val,10,0.49876948318293685,1216,2438
24,val,30,0.48584142394822005,1201,2472
24,val,20,0.5016051364365971,1250,2492
24,val,0,0.19069192751235584,463,2428
25,val,10,0.4864643150123052,1186,2438
25,val,30,0.46480582524271846,1149,2472
25,val,20,0.4674959871589085,1165,2492
25,val,0,0.20675453047775946,502,2428
26,val,10,0.48974569319114025,1194,2438
26,val,30,0.48381877022653724,1196,2472
26,val,20,0.4895666131621188,1220,2492
26,val,0,0.21334431630971992,518,2428
27,val,10,0.5008203445447088,1221,2438
27,val,30,0.502831715210356,1243,2472
27,val,20,0.5044141252006421,1257,2492
27,val,0,0.1857495881383855,451,2428
28,val,10,0.4938474159146842,1204,2438
28,val,30,0.4866504854368932,1203,2472
28,val,20,0.49398073836276085,1231,2492
28,val,0,0.19975288303130148,485,2428
29,val,10,0.4971287940935193,1212,2438
29,val,30,0.5032362459546925,1244,2472
29,val,20,0.49919743178170145,1244,2492
29,val,0,0.20098846787479407,488,2428
30,val,10,0.5143560295324036,1254,2438
30,val,30,0.49959546925566345,1235,2472
30,val,20,0.49919743178170145,1244,2492
30,val,0,0.1696869851729819,412,2428
31,val,10,0.5098441345365053,1243,2438
31,val,30,0.48745954692556637,1205,2472
31,val,20,0.5068218298555377,1263,2492
31,val,0,0.18904448105436572,459,2428
32,val,10,0.5057424118129614,1233,2438
32,val,30,0.4959546925566343,1226,2472
32,val,20,0.5224719101123596,1302,2492
32,val,0,0.18451400329489293,448,2428
33,val,10,0.5057424118129614,1233,2438
33,val,30,0.4898867313915858,1211,2472
33,val,20,0.5096308186195827,1270,2492
33,val,0,0.21046128500823724,511,2428
34,val,10,0.5106644790812142,1245,2438
34,val,30,0.5040453074433657,1246,2472
34,val,20,0.5180577849117175,1291,2492
34,val,0,0.20634266886326194,501,2428
35,val,10,0.5217391304347826,1272,2438
35,val,30,0.5024271844660194,1242,2472
35,val,20,0.5156500802568218,1285,2492
35,val,0,0.20593080724876442,500,2428
36,val,10,0.5098441345365053,1243,2438
36,val,30,0.5072815533980582,1254,2472
36,val,20,0.5192616372391653,1294,2492
36,val,0,0.19686985172981877,478,2428
37,val,10,0.5102543068088597,1244,2438
37,val,30,0.5032362459546925,1244,2472
37,val,20,0.5152487961476726,1284,2492
37,val,0,0.19975288303130148,485,2428
38,val,10,0.5114848236259228,1247,2438
38,val,30,0.5044498381877023,1247,2472
38,val,20,0.5176565008025682,1290,2492
38,val,0,0.214168039538715,520,2428
39,val,10,0.5086136177194421,1240,2438
39,val,30,0.5044498381877023,1247,2472
39,val,20,0.5180577849117175,1291,2492
39,val,0,0.2129324546952224,517,2428
40,val,10,0.5172272354388844,1261,2438
40,val,30,0.5020226537216829,1241,2472
40,val,20,0.5224719101123596,1302,2492
40,val,0,0.207166392092257,503,2428
0,test,30,0.5353249899071457,1326,2477
0,test,20,0.5149581172716394,1291,2507
0,test,0,0.20437654830718416,495,2422
0,test,10,0.5010309278350515,1215,2425
