epoch,split,loss,acc
1,train,5.374942459320702,0.2945665445665446
2,train,1.5696074527407449,0.34554334554334554
3,train,1.3371539260004903,0.38705738705738707
4,train,1.1797952027547927,0.45757020757020755
5,train,0.9772393536072802,0.5277777777777778
6,train,0.8407603966593015,0.5699023199023199
7,train,0.6496100230676933,0.6605616605616605
8,train,0.6138577096628182,0.692002442002442
9,train,0.6331127449706361,0.6724664224664225
10,train,0.5161629049914807,0.7258852258852259
11,train,0.5474489729701381,0.7045177045177046
12,train,0.5845076589138953,0.6923076923076923
13,train,0.6112108240051876,0.6916971916971917
14,train,0.47572334756635776,0.735958485958486
15,train,0.5114783876835935,0.7289377289377289
16,train,0.4842106027662827,0.7295482295482295
17,train,0.4855726760822338,0.7274114774114774
18,train,0.43234451284338704,0.7503052503052503
19,train,0.4132588555961301,0.7548840048840049
20,train,0.4326552187930679,0.7664835164835165
